"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Network and Network-Related Devices and Systems","Market Central SecureSwitch® Fiber Optic Switch Models: A, B, C, D, 1:1, 2:1, 3:1, 4:1, 5:1, 6:1, 7:1 and 8:1","Market Central, Inc.","CA","EAL4+,ALC_FLR.1","","06/25/2020","06/25/2025","http://commoncriteriaportal.org:443/files/epfiles/383-4-506 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-506 ST v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","Stormshield Network Security UTM / NG  - Firewall Software Suite (Version 3.7.9)","Stormshield","FR","EAL3+,ALC_CMC.4,ALC_CMS.4,ALC_FLR.3,AVA_VAN.3","","06/16/2020","06/16/2025","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_39fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_39en.pdf","","","",""
"Network and Network-Related Devices and Systems","Huawei 5900 Series 5G gNodeB Software V100R015C00SPC108","Huawei Technologies Co. Ltd.","ES","EAL4+,ALC_FLR.1","","06/05/2020","06/05/2025","http://commoncriteriaportal.org:443/files/epfiles/2018-60-INF-3128.pdf","http://commoncriteriaportal.org:443/files/epfiles/2018-60-ST.pdf","","","",""
"Network and Network-Related Devices and Systems","WatchGuard Fireware OS v12.3.1.B585922 (Running on Firebox Security Appliances) with WatchGuard Dimension 2.1.2.B588050 Software","WatchGuard Technologies Inc.","ES","EAL4+,ALC_FLR.2","","05/30/2020","05/30/2025","http://commoncriteriaportal.org:443/files/epfiles/2018-26-INF-3091.pdf","http://commoncriteriaportal.org:443/files/epfiles/2018-26-ST.pdf","","","",""
"Network and Network-Related Devices and Systems","Fortinet FortiManager 5.6.6 build 7352 190510 (EAL4+)","Fortinet, Inc.","ES","EAL4+,ALC_FLR.3","","05/29/2020","05/29/2025","http://commoncriteriaportal.org:443/files/epfiles/2017-48-INF-3131.pdf","http://commoncriteriaportal.org:443/files/epfiles/2017-48-ST.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 19.2R1-S2 for SRX5400, SRX5600 and SRX5800 Series","Juniper Networks, Inc.","AU","None","CPP_FW_V2.0E,CPP_ND_V2.1","05/21/2020","05/21/2025","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFT-T011_v1.2.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper-SRX-5K-SecurityTarget-v1.3.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 19.3R1 for QFX5120, QFX5210 and EX4650","Juniper Networks, Inc.","AU","None","CPP_ND_V2.1","05/21/2020","05/21/2025","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFT-T007_v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper QFX5120 EX4650 QFX5210 Junos 19.3r1 ST v1.1.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 19.4R1 for EX4300-48MP","Juniper Networks, Inc.","AU","None","CPP_ND_V2.1","05/21/2020","05/21/2025","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFT-T012_v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper EX4300-48MP Junos 19.4R1 ST v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","Cisco Unified Computing System Standalone, Version 4.0(4i)","Cisco Systems, Inc. 170 West Tasman  Dr.  San Jose, CA 95134-1706 USA","NL","EAL2","","04/24/2020","04/24/2025","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0038305-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[0038305] UCS-CIMCv4.0-ST_v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","Invisiron Cyber Defence Platform 3.1.0 executing on S-1000, S-2000, S-4000, S- 6000, S-6000DNS, S-6000DDoS and microDefender appliances","Invisiron Pte Ltd","MY","EAL2","","04/16/2020","04/16/2025","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C111-CR-v1a.pdf","http://commoncriteriaportal.org:443/files/epfiles/Invisiron CDP Security Target v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","HUAWEI CE16800 series Switches and CE6800 series Switches V200R005C20SPC800","Huawei Technologies Co., Ltd.","NL","EAL2+,ALC_FLR.2","","04/15/2020","04/15/2025","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0059187-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/0059187 HUAWEI CloudEngine Security Target_V2.pdf","","","",""
"Network and Network-Related Devices and Systems","RSA NetWitness Platform v11.3","RSA, The Security Division of EMC","MY","EAL2+,ALC_FLR.1","","04/03/2020","04/03/2025","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C108-CR-V1 .pdf","http://commoncriteriaportal.org:443/files/epfiles/RSA Netwitness v11.3_v1.0.pdf","01/15/2021","RSA NetWitness Platform v11.4","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M015-AMR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/RSA Netwitness v11.4_v1.0_12-09-2020.pdf"
"Network and Network-Related Devices and Systems","RSA NetWitness Platform v11.3","RSA, The Security Division of EMC","MY","EAL2+,ALC_FLR.1","","04/03/2020","04/03/2025","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C108-CR-V1 .pdf","http://commoncriteriaportal.org:443/files/epfiles/RSA Netwitness v11.3_v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","TejNOS EN software Version 6.2 and Version 10.0 running on Tejas Networks POTP/PTN Access Systems Model TJ1400 and TJ1600 respectively","Tejas Networks Limited   Plot no 25, J. P. Software Park, Electronic City, Phase I, Hosur Road, Bangalore 560100, India","IN","EAL2+,ALC_DVS.1","","02/25/2020","02/24/2025","http://commoncriteriaportal.org:443/files/epfiles/CR-TEJAS-Tj1400-Tj1600_EAL2.pdf","http://commoncriteriaportal.org:443/files/epfiles/Tejas_ST_TejNOS_EN_TJ1400_TJ1600_V1.8.pdf","","","",""
"Network and Network-Related Devices and Systems","TejNOS EN software Version 6.2 and Version 10.0 running on Tejas Networks POTP/PTN Access Systems Model TJ1400 and TJ1600 respectively","Tejas Networks Limited   Plot no 25, J. P. Software Park, Electronic City, Phase I, Hosur Road, Bangalore 560100, India","IN","EAL2","","02/25/2020","02/24/2025","http://commoncriteriaportal.org:443/files/epfiles/CR-TEJAS-Tj1400-Tj1600_EAL2.pdf","http://commoncriteriaportal.org:443/files/epfiles/Tejas_ST_TejNOS_EN_TJ1400_TJ1600_V1.8.pdf","","","",""
"Network and Network-Related Devices and Systems","Sophos Firewall OS Version 17.01","Sophos Ltd.","DE","EAL4+,ALC_FLR.3","","02/18/2020","02/18/2025","http://commoncriteriaportal.org:443/files/epfiles/1016a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1016b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","Dell EMC&trade; Isilon with OneFS v8.2.0.0","Dell EMC","CA","EAL2+,ALC_FLR.2","","01/31/2020","01/31/2025","http://commoncriteriaportal.org:443/files/epfiles/383-4-480 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-480 ST v1.3.pdf","","","",""
"Network and Network-Related Devices and Systems","Trusted Audio Switch with fiber optic &#x28;TAS-FO&#x29; version 1.0","Rohde &amp; Schwarz Topex S.A.","DE","EAL4","","01/31/2020","01/31/2025","http://commoncriteriaportal.org:443/files/epfiles/1081a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1081b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","secunet wall, Version 6.01","Secunet Security Networks AG","DE","EAL4+,ALC_FLR.2,ASE_TSS.2,AVA_VAN.5","","01/10/2020","01/10/2025","http://commoncriteriaportal.org:443/files/epfiles/1116a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1116b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","Dell MX7000 Modular Chassis with Management Module v1.00.10","Dell Technologies","CA","EAL2+,ALC_FLR.2","","01/07/2020","01/07/2025","http://commoncriteriaportal.org:443/files/epfiles/383-4-484 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-484 ST v1.5.pdf","","","",""
"Network and Network-Related Devices and Systems","Check Point Software Technologies Ltd. R80.30 Firmware for Security Gateway Appliances with Firewall, IPS Blade Pattern Matcher, and Security Management Server","Check Point Software Technologies Ltd.","NL","EAL4+,ALC_FLR.1","","12/23/2019","12/23/2024","http://commoncriteriaportal.org:443/files/epfiles/Certification Report NSCIB-CC-19-0046947-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[ST] CheckPoint R80 EAL4 augm SecurityTarget (191211).pdf","","","",""
"Network and Network-Related Devices and Systems","F5 BIG-IP 14.1.0 for LTM+APM","F5 Networks, Inc.","SE","None","CPP_ND_V2.1","12/17/2019","12/17/2024","http://commoncriteriaportal.org:443/files/epfiles/certification-report-f5-bigip-ltmapm-version-14.1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP APM 14.1.0 ST v4.4.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 19.2R1 for SRX1500, SRX4100, SRX4200 and SRX4600 Series","Juniper Networks, Inc.","AU","None","CPP_FW_V2.0E,CPP_ND_V2.1","12/13/2019","12/13/2024","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFT-T005_v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper-SRX-TVP-SecurityTarget-v3.7 Final.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 19.2R1 for SRX300, SRX320, SRX340, SRX345, SRX345-DUAL-AC and SRX550M Series","Juniper Networks, Inc.","AU","None","CPP_FW_V2.0E,CPP_ND_V2.1","12/13/2019","12/13/2024","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFT-T004_v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper-SRX-metal-SecurityTarget-v3.7 - final.pdf","","","",""
"Network and Network-Related Devices and Systems","TejNOS EN software version 5.3 running on Tejas Networks SDH &#x2f; SONET Based Optical Networking Equipment TJ1270","Tejas Networks Limited   Plot no 25, J. P. Software Park, Electronic City, Phase I, Hosur Road, Bangalore 560100, India","IN","EAL1","","12/04/2019","12/04/2024","http://commoncriteriaportal.org:443/files/epfiles/Certification Report TJ1270_EAL1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Security Target _TJ1270_Version 1.6.pdf","","","",""
"Network and Network-Related Devices and Systems","Arista Networks Switches EOS 4.22.1FX-CC","Arista Networks, Inc.","CA","None","CPP_ND_V2.1","12/03/2019","12/03/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-483 CR v1.0(1).pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-483 Security Target - Arista Networks Switches Running EOS Version 2.9.pdf","","","",""
"Network and Network-Related Devices and Systems","Integrated Dell&trade; Remote Access Controller 9","Dell EMC","CA","EAL2+,ALC_FLR.2","","11/13/2019","11/13/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-479 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-479 iDRAC_EAL2_ST_13.pdf","","","",""
"Network and Network-Related Devices and Systems","Cisco UCS 5100 Series Blade Server Chassis, B-Series Blade Servers, C-Series Rack-Mount Servers, S-Series Storage Servers, 2200/2300 Series Fabric Extenders, and 6200/6300/6400 Series, Fabric Interconnects with UCSM 4.0(4b)","Cisco Systems, Inc.","NL","EAL2","","11/08/2019","11/08/2024","http://commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-228723-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/Cisco_UCS_4.0_ST_v2.1_02202020.pdf","02/25/2020","addition one new UC Fabric Extender hardware model to the TOE","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-228723-MA-1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Cisco_UCS_4.0_ST_v2.1_02202020.pdf"
"Network and Network-Related Devices and Systems","Cisco UCS 5100 Series Blade Server Chassis, B-Series Blade Servers, C-Series Rack-Mount Servers, S-Series Storage Servers, 2200/2300 Series Fabric Extenders, and 6200/6300/6400 Series, Fabric Interconnects with UCSM 4.0(4b)","Cisco Systems, Inc.","NL","EAL2","","11/08/2019","11/08/2024","http://commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-228723-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/Cisco_UCS_4.0_ST_v2.1_02202020.pdf","","","",""
"Network and Network-Related Devices and Systems","AhnLab MDS, MDS with MTA, and MDS Manager v2.1","AhnLab, Inc.","CA","None","CPP_ND_V2.1","10/29/2019","10/29/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-481 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-481 AhnLab MDS Security Target_1.4.pdf","02/24/2021","Common Criteria Maintenance Report AhnLab MDS, MDS with MTA, and MDS Manager v2.1","http://commoncriteriaportal.org:443/files/epfiles/481 LSS MR.pdf","http://commoncriteriaportal.org:443/files/epfiles/AhnLab MDS Security Target_1.5.pdf"
"Network and Network-Related Devices and Systems","AhnLab MDS, MDS with MTA, and MDS Manager v2.1","AhnLab, Inc.","CA","None","CPP_ND_V2.1","10/29/2019","10/29/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-481 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-481 AhnLab MDS Security Target_1.4.pdf","","","",""
"Network and Network-Related Devices and Systems","FabricOS version 8.2.0a2","Brocade Communications Systems, Inc.","DE","EAL2+,ALC_FLR.2","","10/08/2019","10/08/2024","http://commoncriteriaportal.org:443/files/epfiles/1097a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1097b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","Juniper Junos OS 19.2R1 for MX204 AND EX9251","Juniper Networks, Inc.","AU","None","CPP_ND_V2.1","09/30/2019","09/30/2024","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFT-T002_v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper-MX204EX9251_SecurityTarget-v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","SecDocs Security Komponenten Version 2.4","OpenLimit SignCubes AG","DE","EAL4+,ALC_FLR.1","CC_PP_ACM_ELT_PED_V1.2","09/19/2019","09/18/2024","http://commoncriteriaportal.org:443/files/epfiles/0994a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0994b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","SecDocs Security Komponenten Version 2.4","OpenLimit SignCubes AG","DE","EAL4+,ALC_FLR.1","CC_PP_ACM_ELT_PED_V1.2","09/19/2019","09/19/2024","http://commoncriteriaportal.org:443/files/epfiles/0994a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/0994b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","Fortinet FortiProxy v1.0","Fortinet, Inc.","CA","None","CPP_ND_V2.0E","08/08/2019","08/08/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-475 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-475 ST v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","Ruckus Solution","Ruckus Wireless, Inc.","NO","EAL1","CPP_ND_V2.0E","07/01/2019","","http://commoncriteriaportal.org:443/files/epfiles/20190701_Sertit-111_CR_v1_0.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST_Ruckus_Solution_1_2.pdf","","","",""
"Network and Network-Related Devices and Systems","A10 Networks Thunder TPS 3030S","A10 Networks, Inc.","NO","EAL2+,ALC_FLR.1","","06/25/2019","06/25/2024","http://commoncriteriaportal.org:443/files/epfiles/20190625_Sertit-118_CR_v1-0.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST_A10_Networks_Thunder_TPS _v.1.2g-cln.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 18.1R3-S2.1 for EX4300 Series Ethernet switches","Juniper Networks, Inc.","AU","None","CPP_ND_V2.0E","06/21/2019","06/20/2024","http://commoncriteriaportal.org:443/files/epfiles/ACSC Certifcation Report EFS-T056_v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Juniper-EX4300-SecurityTarget-v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","F5 BIG-IP 13.1.1 for LTM&#x2b;APM","F5 Networks, Inc.","SE","None","CPP_ND_V1.0","06/19/2019","06/19/2024","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP NDcPP APM 13.1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP NDcPP APM 13.1.1 ST v0.20.pdf","","","",""
"Network and Network-Related Devices and Systems","Huawei OptiX PTN Series Products","Huawei Technologies Co. Ltd.","ES","EAL3","","06/18/2019","06/18/2024","http://commoncriteriaportal.org:443/files/epfiles/2017-60-INF-2765.pdf","http://commoncriteriaportal.org:443/files/epfiles/2017-60-ST.pdf","","","",""
"Network and Network-Related Devices and Systems","Huawei NE20E Router V800R010C10 and NE08E Router V300R003C10, revision SPC500","Huawei Technologies Co., Ltd.","NL","EAL2+,ALC_FLR.2","","04/17/2019","04/17/2024","http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-217431-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/HUAWEI NE20E series Router V800R010C10 & NE08E series Router V300R003C10 Security Target V3.0.pdf","","","",""
"Network and Network-Related Devices and Systems","LogRhythm Integrated Solution v7.3 with Microsoft SQL Server 2016 SP1 Standard Edition","LogRhythm, Inc.","MY","EAL2+,ALC_FLR.2","","04/12/2019","04/12/2024","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C074-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/LogRhythm 7_ST_v0.93_1-16-2019.pdf","02/03/2023","LogRhythm Integrated Solution v7.8 with Microsoft SQL Server 2016 SP1 Standard Edition","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M018-AMR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/LogRhythm 7.8_ST_v1.0_20220513.pdf"
"Network and Network-Related Devices and Systems","LogRhythm Integrated Solution v7.3 with Microsoft SQL Server 2016 SP1 Standard Edition","LogRhythm, Inc.","MY","EAL2+,ALC_FLR.2","","04/12/2019","04/12/2024","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C074-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/LogRhythm 7_ST_v0.93_1-16-2019.pdf","","","",""
"Network and Network-Related Devices and Systems","Virtual Instruments VirtualWisdom Platform Appliance v5.7","Virtual Instruments","CA","None","CPP_ND_V2.0E","03/05/2019","03/05/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-451 CR v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-451 Virtual Instruments Virtual Wisdom v5.7 ST v1.1.pdf","","","",""
"Network and Network-Related Devices and Systems","Big Switch Networks Big Cloud Fabric 4.7.0","Big Switch Networks, Inc.","ES","EAL2+,ALC_FLR.2","","02/06/2019","02/06/2024","http://commoncriteriaportal.org:443/files/epfiles/2017-23-INF-2630.pdf","http://commoncriteriaportal.org:443/files/epfiles/2017-23-ST.pdf","","","",""
"Network and Network-Related Devices and Systems","Hewlett Packard Enterprise Development LP BladeSystem c7000, Integrated Lights-Out 5 v1.11, Onboard Administrator v4.71, and Virtual Connect v4.66","Hewlett Packard Enterprise Development LP","CA","EAL2+,ALC_FLR.2","","01/31/2019","01/31/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-444 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-444 HPE BladeSystem ST v0.6.pdf","","","",""
"Network and Network-Related Devices and Systems","NetApp SolidFire Element OS 10.3","NetApp, Inc.","CA","EAL2,ALC_FLR.2","","01/18/2019","02/18/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-442 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-442 NetApp SolidFire Element OS 10 ST_1.1.pdf","","","",""
"Network and Network-Related Devices and Systems","NetApp E-Series &amp; EF-Series with SANtricity OS 11.50","NetApp, Inc.","CA","None","CPP_ND_V2.0E","01/03/2019","01/03/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-468 CR v1.2.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-468 NetApp SANtricity 11 Security Target_1.3.pdf","","","",""
"Network and Network-Related Devices and Systems","F5 BIG-IP 12.1.3.4 for LTM+APM","F5 Networks, Inc.","SE","None","CPP_ND_V1.0","12/07/2018","12/07/2023","http://commoncriteriaportal.org:443/files/epfiles/Certification Report v2.0 - F5 BIG-IP 12.1.3.4 NDcPP.pdf","http://commoncriteriaportal.org:443/files/epfiles/f5 ndcpp st.pdf","","","",""
"Network and Network-Related Devices and Systems","Blue Coat ProxySG, Blue Coat Reverse Proxy, Blue Coat Reverse Proxy Virtual Appliance, Blue Coat Secure Web Gateway Virtual Appliance, Symantec Advanced Secure Gateway","Symantec Corporation","SE","EAL1","PP_ND_V1.0","11/06/2018","11/06/2023","http://commoncriteriaportal.org:443/files/epfiles/Certification Report v2.0 - Symantec ProxySG.pdf","http://commoncriteriaportal.org:443/files/epfiles/Proxysg_rp_swg_asg_combined_security_target 2.pdf","","","",""
"Network and Network-Related Devices and Systems","Junos OS 18.1R1 for QFX5100 and EX4600 Ethernet Switches","Juniper Networks, Inc.","AU","None","CPP_ND_V2.0E","10/31/2018","11/01/2023","http://commoncriteriaportal.org:443/files/epfiles/EFS-T054_CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/EFS-T054_ST.pdf","","","",""
"Network and Network-Related Devices and Systems","Huawei NE40E Series Software Consisting of VRP and the Underlying OS V800R010C00SPC200, V800R010SPH220T","Huawei Technologies Co. Ltd.","DE","None","CPP_ND_V2.0E","10/26/2018","10/26/2023","http://commoncriteriaportal.org:443/files/epfiles/1053a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1053b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","Huawei OptiX OSN 1800 V V100R006C20 software management component","Huawei Technologies Co., Ltd.","DE","EAL2","","10/26/2018","10/25/2023","http://commoncriteriaportal.org:443/files/epfiles/1030a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1030b_pdf.pdf","","","",""
"Network and Network-Related Devices and Systems","Trend Micro TippingPoint Security Management System v5.1.0","Trend Micro Inc.","MY","EAL2","","10/09/2018","10/09/2023","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C097-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS ST v1.0.pdf","11/08/2019","Trend Micro TippingPoint Security Management System &#x28;SMS&#x29; v5.2.0","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M011-AMR-V1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS 5.2 ST v1.0.pdf"
"Network and Network-Related Devices and Systems","Trend Micro TippingPoint Security Management System v5.1.0","Trend Micro Inc.","MY","EAL2","","10/09/2018","10/09/2023","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C097-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS ST v1.0.pdf","04/30/2020","Trend Micro TippingPoint Security Management System v5.3","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M014-AMR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS 5.3 ST v1.1.pdf"
"Network and Network-Related Devices and Systems","Trend Micro TippingPoint Security Management System v5.1.0","Trend Micro Inc.","MY","EAL2","","10/09/2018","10/09/2023","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C097-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS ST v1.0.pdf","02/26/2021","Trend Micro TippingPoint Security Management
System v5.4.0","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M016-AMR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS 5.4 ST Final.pdf"
"Network and Network-Related Devices and Systems","Trend Micro TippingPoint Security Management System v5.1.0","Trend Micro Inc.","MY","EAL2","","10/09/2018","10/09/2023","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C097-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS ST v1.0.pdf","02/07/2022","Trend Micro TippingPoint Security Management System v5.5.0","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-M017-AMR-v1 .pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS 5.5 ST final.pdf"
"Network and Network-Related Devices and Systems","Trend Micro TippingPoint Security Management System v5.1.0","Trend Micro Inc.","MY","EAL2","","10/09/2018","10/09/2023","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C097-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Trend Micro SMS ST v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","Symantec Security Analytics S500","Symantec Corporation","SE","EAL1,ASE_SPD.1","","09/28/2018","09/28/2023","http://commoncriteriaportal.org:443/files/epfiles/Certification Report v2 Symantec S500.pdf","http://commoncriteriaportal.org:443/files/epfiles/Symantec S500 Security Target v0.10.pdf","","","",""
"Network and Network-Related Devices and Systems","RSA NetWitness Suite V11.0","RSA Security LLC","MY","EAL2+,ALC_FLR.1","","07/31/2018","07/31/2023","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C096-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/RSA Netwitness v11.0 ST_Final.pdf","","","",""
"Network and Network-Related Devices and Systems","HUAWEI NE9000 Router","Huawei Technologies Co. Ltd.","NO","EAL2+,ALC_FLR.2","","07/04/2018","07/04/2023","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-114 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/180515 [HUA] [ST] NE9000 V800R010C00 CC ST-Security Target V1.8.pdf","","","",""
"Network and Network-Related Devices and Systems","Zyxel ZyWALL VPN Firewall series","Zyxel Communications Corporation","NO","EAL2+,ALC_FLR.2","","04/19/2018","","http://commoncriteriaportal.org:443/files/epfiles/20180419_SERTIT-100_CR_v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/180126 [ZXL] Zyxel ST v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","DNSVault Intelligent Threat Protection version 5.0","DNSVAULT Sdn. Bhd.","MY","EAL2","","03/23/2018","","http://commoncriteriaportal.org:443/files/epfiles/ISCB-5-RPT-C093-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/DNSVault ITP Security Target v1.0.pdf","","","",""
"Network and Network-Related Devices and Systems","ZTE ZXCTN 6000 Series Access Router Running ZXROSng Operating System","ZTE Corporation","NO","EAL2+,ALC_FLR.2","","11/08/2017","","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-094 ZTE ZXCTN 6000 series CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/170912 [ZTE] [ASE ST] ZTE 6000 Routers v3.3.pdf","","","",""
